Video_Links,Duration
https://www.youtube.com/watch?v=FDZRgHV7Sh4,0:06:00
https://www.youtube.com/watch?v=PuD-6jYwTQ0,0:04:56
https://www.youtube.com/watch?v=WXB36lG4GfI,0:06:33
https://www.youtube.com/watch?v=fTGwUlHL54U,0:05:33
https://www.youtube.com/watch?v=99t68PbXVNI,0:04:26
https://www.youtube.com/watch?v=G0N_bKUc9lI,0:06:06
https://www.youtube.com/watch?v=1I58KrHFuss,0:04:38
https://www.youtube.com/watch?v=7_dQX5RmX7U,0:05:28
https://www.youtube.com/watch?v=8SJOJ3Ho_Lg,0:03:50
https://www.youtube.com/watch?v=Qeh8I5FK6ME,0:04:08
https://www.youtube.com/watch?v=9u00yod24-Q,0:05:29
https://www.youtube.com/watch?v=xRgq44Qx7YU,0:05:50
https://www.youtube.com/watch?v=cGO2T6hjJdk,0:05:13
https://www.youtube.com/watch?v=-9UzQv79dbA,0:06:16
https://www.youtube.com/watch?v=xCigwFqWdto,0:04:53
https://www.youtube.com/watch?v=yP8KIyapi3w,0:04:29
https://www.youtube.com/watch?v=0OvyEguaQvo,0:03:29
https://www.youtube.com/watch?v=A0ikXjRwXqw,0:03:51
https://www.youtube.com/watch?v=xbzp7VVikJI,0:05:35
https://www.youtube.com/watch?v=PR8Qo4czfUg,0:05:20
https://www.youtube.com/watch?v=5WNWUk7E6_s,0:04:22
https://www.youtube.com/watch?v=Vyb9ukcCdLo,0:03:55
https://www.youtube.com/watch?v=LAx262QmNsI,0:04:46
https://www.youtube.com/watch?v=IyGvbyF7If8,0:05:20
https://www.youtube.com/watch?v=9x9Gv8_sB5M,0:05:52
https://www.youtube.com/watch?v=guLSd-tp4JM,0:04:44
https://www.youtube.com/watch?v=fmBofjeZOCc,0:04:11
https://www.youtube.com/watch?v=baxaHySNtyY,0:06:27
https://www.youtube.com/watch?v=gW-xInEGGVU,0:05:15
https://www.youtube.com/watch?v=0gW0BvzFYF4,0:04:54
https://www.youtube.com/watch?v=L9o3Ce4yLYI,0:07:11
https://www.youtube.com/watch?v=Wg14ikirj_Q,0:05:51
https://www.youtube.com/watch?v=IflywmsVyfM,0:05:33
https://www.youtube.com/watch?v=sBx2wgMZeYo,0:05:55
https://www.youtube.com/watch?v=iTCt4eIqT8U,0:05:59
https://www.youtube.com/watch?v=Lz-1O9xOK1Y,0:04:34
https://www.youtube.com/watch?v=4ol2l29R80s,0:05:48
https://www.youtube.com/watch?v=Ah_VT1yg_wQ,0:05:11
https://www.youtube.com/watch?v=DDkvusqHNWQ,0:05:10
https://www.youtube.com/watch?v=QvFeK360Wsg,0:05:34
https://www.youtube.com/watch?v=mezD_7SFkGQ,0:05:21
https://www.youtube.com/watch?v=AVTqIvEtOd4,0:04:20
